3635 12449716 6603
3634 12448203 1513
3633 12425772 22431
3632 12424830 942
3631 12423054 1776
3630 12417176 5878
3629 12411951 5225
3628 12400322 11629
3627 12399102 1220
3626 12396375 2727
3625 12393526 2849
3624 12385748 7778
3623 12370792 14956
3622 12369752 1040
3621 12368793 959
3620 12367143 1650
3619 12357457 9686
3618 12353949 3508
3617 12346452 7497
3616 12338323 8129
3615 12335485 2838
3614 12333636 1849
3613 12331919 1717
3612 12326970 4949
3611 12325567 1403
3610 12322816 2751
3609 12320268 2548
3608 12314129 6139
3607 12298943 15186
3606 12296387 2556
3605 12292927 3460
3604 12291285 1642
3603 12289778 1507
3602 12288355 1423
3601 12286526 1829
3600 12284198 2328
3599 12282201 1997
3598 12279167 3034
3597 12273670 5497
3596 12263751 9919
3595 12262517 1234
3594 12256568 5949
3593 12250863 5705
3592 12244384 6479
3591 12242296 2088
3590 12230794 11502
3589 12221655 9139
3588 12215491 6164
3587 12214373 1118
3586 12200284 14089
3585 12196482 3802
3584 12188600 7882
3583 12184657 3943
3582 12181158 3499
3581 12179404 1754
3580 12169663 9741
3579 12165042 4621
3578 12163619 1423
3577 12157941 5678
3576 12156545 1396
3575 12151114 5431
3574 12135860 15254
3573 12134119 1741
3572 12131808 2311
3571 12125760 6048
3570 12123387 2373
3569 12118523 4864
3568 12114115 4408
3567 12110796 3319
3566 12109421 1375
3565 12105460 3961
3564 12104308 1152
3563 12096973 7335
3562 12091861 5112
3561 12086201 5660
3560 12083274 2927
3559 12079688 3586
3558 12075322 4366
3557 12072925 2397
3556 12071982 943
3555 12065039 6943
3554 12059948 5091
3553 12056268 3680
3552 12055655 613
3551 12052428 3227
3550 12044268 8160
3549 12038674 5594
3548 12036747 1927
3547 12033678 3069
3546 12030307 3371
3545 12022705 7602
3544 12020984 1721
3543 12018372 2612
3542 12016323 2049
3541 12014599 1724
3540 12007101 7498
3539 12004139 2962
3538 12001143 2996
3537 11994649 6494
3536 11992655 1994
3535 11987463 5192
3534 11981201 6262
3533 11972459 8742
