98 322366 3759
97 319768 2598
96 317174 2594
95 315087 2087
94 313567 1520
93 310787 2780
92 303976 6811
91 302245 1731
90 300531 1714
89 295162 5369
88 293432 1730
87 287825 5607
86 283015 4810
85 276688 6327
84 273226 3462
83 264746 8480
82 262892 1854
81 261833 1059
80 261032 801
79 259898 1134
78 257689 2209
77 248010 9679
76 244436 3574
75 241089 3347
74 237717 3372
73 235860 1857
72 225134 10726
71 224654 480
70 223516 1138
69 219537 3979
68 218235 1302
67 208124 10111
66 205159 2965
65 204019 1140
64 202666 1353
63 200296 2370
62 197880 2416
61 195340 2540
60 193112 2228
29 82049 2098
28 79334 2715
27 74523 4811
26 70926 3597
25 67250 3676
24 65640 1610
23 64633 1007
22 64068 565
21 59972 4096
20 55680 4292
19 54956 724
18 51187 3769
17 44909 6278
16 40609 4300
15 36497 4112
14 32999 3498
1 0 1054
2 1054 1110
3 2164 6661
4 8825 2160
5 10985 1955
6 12940 6199
7 19139 3614
8 22753 641
9 23394 1834
10 25228 3099
11 28327 1245
12 29572 2301
13 31873 1126
30 84147 3150
31 87297 828
32 88125 7140
33 95265 969
34 96234 3166
35 99400 2389
36 101789 2688
37 104477 3414
38 107891 2571
39 110462 3967
40 114429 2062
41 116491 1879
42 118370 4440
43 122810 1448
44 124258 4415
45 128673 3898
46 132571 5681
47 138252 6665
48 144917 4523
49 149440 1813
50 151253 1268
51 152521 2851
52 155372 6434
53 161806 2556
54 164362 3463
55 167825 2718
56 170543 2267
57 172810 10450
58 183260 777
59 184037 9075
